NUMBER	HIT	CONCEPT	PROTO	SCORE
1	+	ash	灰	1.00
2	+	back	背	0.50
2	-	back	背脊	0.50
3	-	belly	肚子	1.00
4	+	bird	鸟	1.00
5	-	bone	骨头	1.00
6	+	claw	爪	0.50
6	-	claw	爪子	0.50
7	+	cloud	云	1.00
8	-	day	日	1.00
9	-	dog	狗	1.00
10	+	ear	耳	0.50
10	-	ear	耳朵	0.50
11	+	earth	地	1.00
12	-	egg	蛋	1.00
13	-	eye	眼	0.50
13	-	eye	眼睛	0.50
14	+	fire	火	1.00
15	+	flesh	肉	1.00
16	+	flower	花	1.00
17	+	fog	雾	1.00
18	+	fruit	果	0.50
18	-	fruit	水果	0.50
19	+	guts	肠	0.50
19	-	guts	肠子	0.50
20	+	hand	手	1.00
21	+	heart	心	1.00
22	+	horn	角	1.00
23	+	ice	冰	1.00
24	-	knee	膝头	1.00
25	+	lake	湖	1.00
26	+	leaf	叶	0.50
26	-	leaf	叶子	0.50
27	-	leg	腿	1.00
28	+	liver	肝	1.00
29	+	louse	虱	1.00
30	+	man	男	1.00
31	-	moon	月光	1.00
32	-	mouth	嘴	0.50
32	-	mouth	嘴巴	0.50
33	-	name	名字	1.00
34	+	neck	颈	1.00
35	+	night	夜	0.50
35	-	night	夜里	0.50
36	+	nose	鼻	1.00
37	+	path	路	1.00
38	+	person	人	1.00
39	+	river	江	1.00
40	-	rope	绳子	1.00
41	+	sand	沙	0.50
41	-	sand	沙子	0.50
42	-	seed	种子	1.00
43	+	skin	皮	1.00
44	+	sky	天	1.00
45	+	smoke	烟	1.00
46	+	snake	蛇	1.00
47	+	star	星	1.00
48	-	stone	石头	1.00
49	-	sun	日头	1.00
50	-	tail	尾巴	1.00
51	+	tongue	舌	1.00
52	-	tooth	牙齿	1.00
53	+	water	水	1.00
54	+	wing	翼	0.50
54	-	wing	翼膀	0.50
55	+	woman	女	1.00
56	+	worm	虫	1.00

---
+ 0.62, 34.50
- 0.38, 21.50
Weight: 518
