NUMBER	HIT	CONCEPT	PROTO	SCORE
1	+	ash	灰	1.00
3	-	belly	肚	0.50
3	-	belly	肚子	0.50
4	+	bird	鸟	1.00
5	+	bone	骨	0.50
5	-	bone	骨头	0.50
6	+	claw	爪	0.33
6	-	claw	爪子	0.33
6	-	claw	脚爪	0.33
7	+	cloud	云	1.00
8	-	day	日	0.50
8	-	day	日子	0.50
9	-	dog	狗	1.00
10	+	ear	耳	0.50
10	-	ear	耳朵	0.50
11	+	earth	地	0.50
11	-	earth	地下	0.50
12	+	egg	卵	0.50
12	-	egg	蛋	0.50
14	+	fire	火	1.00
15	+	flesh	肉	1.00
16	+	flower	花	1.00
17	+	fog	雾	0.50
17	-	fog	雨矛	0.50
18	-	fruit	果水	0.50
18	-	fruit	水果	0.50
19	+	guts	肠	0.50
19	-	guts	肠子	0.50
20	+	hand	手	1.00
21	+	heart	心	1.00
22	+	horn	角	1.00
23	+	ice	冰	1.00
25	+	lake	湖	1.00
26	+	leaf	叶	0.33
26	-	leaf	叶子	0.33
26	-	leaf	箬	0.33
28	+	liver	肝	1.00
30	+	man	男	0.14
30	-	man	男个	0.14
30	-	man	男人	0.14
30	-	man	男人家	0.14
30	-	man	男子客	0.14
30	-	man	男将	0.14
30	-	man	男的	0.14
31	+	moon	月	0.33
31	-	moon	月亮	0.33
31	-	moon	月光	0.33
32	-	mouth	喙	0.33
32	-	mouth	嘴	0.33
32	-	mouth	嘴巴	0.33
33	-	name	名字	1.00
34	+	neck	颈	0.50
34	-	neck	头颈	0.50
35	+	night	夜	0.14
35	-	night	冥时	0.14
35	-	night	夜晚	0.14
35	-	night	夜里	0.14
35	-	night	夜里乡	0.14
35	-	night	暗时	0.14
35	-	night	黑夜	0.14
36	+	nose	鼻	0.25
36	-	nose	鼻公	0.25
36	-	nose	鼻头	0.25
36	-	nose	鼻子	0.25
37	+	path	路	1.00
38	+	person	人	0.50
38	-	person	侬	0.50
39	+	river	江	1.00
40	+	rope	索	0.25
40	+	rope	绳	0.25
40	-	rope	索子	0.25
40	-	rope	绳子	0.25
41	+	sand	沙	0.50
41	-	sand	沙子	0.50
42	+	seed	种	0.50
42	-	seed	种子	0.50
43	+	skin	皮	0.50
43	-	skin	皮肤	0.50
44	+	sky	天	1.00
45	+	smoke	烟	1.00
46	+	snake	蛇	0.50
46	-	snake	溜子	0.50
47	+	star	星	1.00
48	-	stone	石头	1.00
49	-	sun	太阳	0.50
49	-	sun	日头	0.50
50	+	tail	尾	0.50
50	-	tail	尾巴	0.50
51	+	tongue	舌	0.50
51	-	tongue	舌子	0.50
52	+	tooth	牙	0.50
52	-	tooth	牙齿	0.50
53	+	water	水	1.00
54	+	wing	翼	0.50
54	-	wing	翅膀	0.50
56	+	worm	虫	1.00

---
+ 0.52, 29.04
- 0.48, 26.96
Weight: 726
