NUMBER	HIT	CONCEPT	PROTO	SCORE
1	+	ash	灰	1.00
2	-	back	月聘	0.20
2	-	back	目脊	0.20
2	-	back	背脊	0.20
2	-	back	胛脊	0.20
2	-	back	胶脊	0.20
3	+	belly	腹	0.25
3	-	belly	肚	0.25
3	-	belly	腹老	0.25
3	-	belly	腹肚	0.25
4	+	bird	鸟	1.00
5	+	bone	骨	1.00
6	+	claw	爪	1.00
7	+	cloud	云	1.00
8	-	day	日	1.00
9	-	dog	狗	1.00
10	+	ear	耳	0.20
10	-	ear	耳仔	0.20
10	-	ear	耳公	0.20
10	-	ear	耳朵	0.20
10	-	ear	耳菇	0.20
11	+	earth	地	1.00
12	+	egg	卵	1.00
13	-	eye	目珠	0.50
13	-	eye	眼	0.50
14	+	fire	火	1.00
15	+	flesh	肉	1.00
16	+	flower	花	1.00
17	+	fog	雾	1.00
18	-	fruit	果水	0.33
18	-	fruit	水果	0.33
18	-	fruit	生果	0.33
19	+	guts	肠	1.00
20	+	hand	手	1.00
21	+	heart	心	1.00
22	+	horn	角	1.00
23	+	ice	冰	1.00
24	+	knee	膝	0.06
24	-	knee	CD	0.06
24	-	knee	头膝盖	0.06
24	-	knee	头膝盖儿	0.06
24	-	knee	磕膝	0.06
24	-	knee	磕膝头	0.06
24	-	knee	胳楞瓣儿	0.06
24	-	knee	脚月-屈头	0.06
24	-	knee	脚棵头	0.06
24	-	knee	脚馒头	0.06
24	-	knee	膊楞盖儿	0.06
24	-	knee	膝头	0.06
24	-	knee	膝头骨	0.06
24	-	knee	膝牯脑嘚	0.06
24	-	knee	膝盖头	0.06
24	-	knee	舌头盖子	0.06
24	-	knee	骹头A	0.06
24	-	knee	骹腹头	0.06
25	+	lake	湖	1.00
26	+	leaf	叶	0.33
26	-	leaf	叶子	0.33
26	-	leaf	箬	0.33
27	-	leg	腿	0.50
27	-	leg	骹腿	0.50
28	+	liver	肝	1.00
29	-	louse	虱母	1.00
30	-	man	男个	1.00
31	+	moon	月	0.50
31	-	moon	月光	0.50
32	-	mouth	喙	1.00
33	+	name	名	0.50
33	-	name	名字	0.50
34	+	neck	颈	0.33
34	-	neck	脰骨	0.33
34	-	neck	颔颈	0.33
35	-	night	冥时	0.11
35	-	night	夜晚	0.11
35	-	night	夜晚黑	0.11
35	-	night	夜晡	0.11
35	-	night	夜晡头	0.11
35	-	night	夜里	0.11
35	-	night	晚黑	0.11
35	-	night	暗时	0.11
35	-	night	暝晡	0.11
36	+	nose	鼻	0.50
36	-	nose	鼻公	0.50
37	+	path	路	1.00
38	+	person	人	0.50
38	-	person	侬	0.50
39	+	river	江	1.00
40	+	rope	索	1.00
41	+	sand	沙	1.00
42	+	seed	种	1.00
43	+	skin	皮	1.00
44	+	sky	天	1.00
45	+	smoke	烟	1.00
46	+	snake	蛇	1.00
47	+	star	星	1.00
48	-	stone	石头	1.00
49	-	sun	日头	1.00
50	+	tail	尾	1.00
51	+	tongue	舌	0.33
51	-	tongue	嘴舌	0.33
51	-	tongue	舌头	0.33
52	-	tooth	牙齿	1.00
53	+	water	水	1.00
54	+	wing	翼	1.00
55	-	woman	AB	0.09
55	-	woman	女个	0.09
55	-	woman	女人	0.09
55	-	woman	女甫娘	0.09
55	-	woman	女界	0.09
55	-	woman	女的	0.09
55	-	woman	妇人家	0.09
55	-	woman	婆乸	0.09
55	-	woman	某侬	0.09
55	-	woman	查某	0.09
55	-	woman	诸娘农	0.09
56	+	worm	虫	1.00

---
+ 0.63, 35.51
- 0.37, 20.49
Weight: 322
