NUMBER	HIT	CONCEPT	PROTO	SCORE
1	+	ash	灰	1.00
2	+	back	背	0.50
2	-	back	背脊	0.50
3	-	belly	肚子	1.00
4	+	bird	鸟	1.00
5	-	bone	骨头	1.00
6	-	claw	爪子	1.00
7	+	cloud	云	1.00
8	-	day	日	1.00
9	-	dog	狗	1.00
10	-	ear	耳朵	1.00
11	+	earth	地	1.00
12	-	egg	蛋	1.00
13	-	eye	眼睛	1.00
14	+	fire	火	1.00
15	+	flesh	肉	1.00
16	+	flower	花	1.00
17	+	fog	雾	1.00
18	-	fruit	水果	1.00
19	-	guts	肠子	1.00
20	+	hand	手	1.00
21	+	heart	心	1.00
22	+	horn	角	1.00
23	+	ice	冰	1.00
24	+	knee	膝	0.06
24	-	knee	CD	0.06
24	-	knee	头膝盖	0.06
24	-	knee	头膝盖儿	0.06
24	-	knee	磕膝	0.06
24	-	knee	磕膝头	0.06
24	-	knee	胳楞瓣儿	0.06
24	-	knee	脚月-屈头	0.06
24	-	knee	脚棵头	0.06
24	-	knee	脚馒头	0.06
24	-	knee	膊楞盖儿	0.06
24	-	knee	膝头	0.06
24	-	knee	膝头骨	0.06
24	-	knee	膝牯脑嘚	0.06
24	-	knee	膝盖头	0.06
24	-	knee	舌头盖子	0.06
25	+	lake	湖	1.00
26	-	leaf	叶子	1.00
27	-	leg	腿	1.00
28	+	liver	肝	1.00
29	+	louse	虱	0.33
29	-	louse	虱子	0.33
29	-	louse	虱母	0.33
30	-	man	男个	1.00
31	-	moon	月光	1.00
32	-	mouth	喙	0.33
32	-	mouth	嘴	0.33
32	-	mouth	嘴巴	0.33
33	-	name	名字	1.00
34	+	neck	颈	1.00
35	-	night	夜里	1.00
36	-	nose	鼻公	1.00
37	+	path	路	1.00
38	+	person	人	1.00
39	+	river	江	1.00
40	-	rope	绳子	1.00
41	+	sand	沙	0.50
41	-	sand	沙子	0.50
42	-	seed	种子	1.00
43	+	skin	皮	1.00
44	+	sky	天	1.00
45	+	smoke	烟	1.00
46	+	snake	蛇	1.00
47	+	star	星	1.00
48	-	stone	石头	1.00
49	-	sun	日头	1.00
50	-	tail	尾巴	1.00
51	-	tongue	舌头	1.00
52	-	tooth	牙齿	1.00
53	+	water	水	1.00
54	-	wing	翅膀	1.00
55	-	woman	女的	1.00
56	+	worm	虫	1.00

---
+ 0.47, 26.40
- 0.53, 29.60
Weight: 328
